League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 4,Crawley Town,43,8,13,22,37,56.3,41,65,-24,25.9,57.8,0.86,1.26,11.23,32.0,13.86,18.6,16.05,1.33,1.36,10.29,54.66,63.1,55.14,41.3,8.02,362.42,79.1,2.8,52.22,57.6,53.6,48.6,69.09,13.07
England 4,Barnet,43,18,13,12,67,71.0,60,49,11,25.7,56.8,1.25,1.46,11.62,34.0,15.51,22.95,20.9,1.1,1.02,8.28,53.28,68.0,64.92,46.8,7.13,340.83,76.3,3.41,57.04,59.4,55.07,49.4,70.1,12.65
England 4,Grimsby Town,42,19,11,12,68,73.0,63,47,16,26.1,55.9,1.33,1.47,11.11,35.4,16.4,18.46,19.92,0.99,0.99,8.19,52.24,67.1,61.19,46.9,7.47,340.95,75.5,4.44,54.55,59.9,53.17,51.6,72.52,11.96
England 4,Notts County,43,23,7,13,76,68.9,71,49,22,25.6,55.3,1.49,1.23,9.48,40.9,14.91,20.26,15.6,0.93,1.03,8.49,56.82,64.5,50.59,45.0,9.79,400.63,80.6,2.83,49.27,59.3,47.84,42.7,66.63,12.98
England 4,Colchester United,43,17,12,14,63,63.9,58,46,12,26.0,53.6,1.2,1.3,10.16,34.7,13.72,20.21,18.47,1.15,0.95,9.27,51.88,64.4,50.08,44.6,9.49,374.24,78.9,3.71,52.52,60.3,51.67,47.4,73.83,12.6
England 4,Swindon Town,43,22,8,13,74,61.3,67,51,16,26.9,52.6,1.4,1.24,9.64,40.9,13.79,15.98,14.23,1.19,1.06,10.03,58.1,65.7,58.06,46.5,9.87,344.29,74.6,5.05,55.41,54.3,58.52,47.3,72.45,8.66
England 4,Salford City,43,23,5,15,74,68.7,57,50,7,25.7,51.5,1.2,1.48,11.48,33.7,12.3,21.66,18.44,1.17,1.05,9.21,55.85,64.8,65.52,42.8,7.46,289.6,72.7,4.04,56.23,57.3,56.46,49.3,65.21,12.49
England 4,Bristol Rovers,43,17,4,22,55,58.6,49,63,-14,24.0,51.3,1.02,1.2,9.42,30.2,13.01,14.77,14.21,1.24,1.31,9.65,57.86,67.8,61.6,45.4,8.96,291.39,73.4,3.84,53.2,57.3,56.04,49.5,67.01,8.94
England 4,Cambridge United,43,21,15,7,78,71.8,62,31,31,27.4,50.4,1.29,1.27,9.27,34.0,14.13,15.88,17.2,0.83,0.65,6.87,49.65,67.2,67.81,43.9,9.88,320.82,73.5,2.98,55.02,52.6,54.23,44.5,65.6,9.91
England 4,Fleetwood Town,43,15,13,15,58,61.7,53,54,-1,27.9,49.9,1.11,1.26,10.21,34.1,16.56,18.34,16.52,1.18,1.13,10.23,59.11,64.9,58.69,45.2,9.47,316.72,73.5,2.77,53.2,56.5,55.67,49.9,71.68,10.58
England 4,Cheltenham Town,42,13,10,19,49,42.2,50,68,-18,27.6,49.8,1.09,0.84,8.36,32.2,12.27,17.77,11.47,1.39,1.48,12.01,62.96,65.5,57.4,45.3,10.25,323.67,76.8,2.32,48.3,56.7,54.77,50.3,66.33,12.31
