League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 6,Worthing,33,17,7,9,58,61.2,73,40,33,24.4,62.7,1.99,1.84,12.46,40.8,13.38,21.46,21.6,1.12,1.09,9.03,62.23,66.7,43.95,45.2,7.84,451.52,80.9,4.11,56.82,61.3,53.91,46.1,82.38,18.77
England 6,Fylde,31,23,2,6,71,48.3,76,33,43,24.2,62.6,2.39,1.48,12.75,41.0,11.46,20.88,16.63,1.04,1.01,8.75,63.01,64.5,44.94,44.2,7.42,473.52,84.3,2.99,53.97,63.6,47.52,46.5,71.67,21.0
England 6,Dorking Wanderers,33,20,6,7,66,55.5,61,39,22,28.0,56.4,1.69,1.58,12.81,37.6,20.94,21.8,20.42,1.11,1.02,9.93,65.6,64.5,62.91,49.1,8.38,353.22,74.9,2.6,52.18,57.3,55.8,52.9,71.6,15.19
England 6,Macclesfield Town,30,15,6,9,51,46.3,54,44,10,25.9,55.5,1.63,1.35,10.99,38.4,14.0,21.08,16.83,1.09,1.32,8.79,58.75,67.2,53.45,48.6,8.62,356.06,76.5,4.7,59.26,54.5,58.14,47.2,70.43,13.07
England 6,Buxton,33,12,6,15,42,44.8,53,48,5,23.5,55.4,1.45,1.2,9.54,41.0,14.52,24.12,15.34,1.18,1.31,9.54,58.55,65.4,49.53,48.3,9.03,349.25,76.7,3.97,55.41,57.0,53.38,47.7,71.21,16.65
England 6,Merthyr Town,35,20,3,12,63,46.8,79,60,19,24.8,55.1,2.17,1.67,12.81,41.4,9.23,19.35,16.65,1.69,1.59,14.02,60.49,66.4,36.49,43.3,12.3,448.96,81.3,4.12,51.22,58.1,44.71,38.2,74.42,16.9
England 6,Kidderminster Harriers,32,15,11,6,56,52.8,44,35,9,26.4,54.9,1.32,1.27,11.61,33.1,16.79,18.98,15.77,0.81,1.02,7.59,62.53,66.7,69.07,44.9,5.94,317.08,73.7,4.26,58.87,55.8,64.87,52.7,71.86,10.41
England 6,Torquay United,33,17,6,10,57,50.1,62,42,20,26.0,54.0,1.69,1.46,11.92,40.9,14.61,20.03,18.78,1.23,1.14,9.23,57.94,66.9,53.72,47.4,9.58,372.68,76.8,3.92,60.34,56.8,62.4,45.1,76.17,14.97
England 6,Ebbsfleet United,34,15,10,9,55,55.0,48,38,10,28.3,53.8,1.27,1.31,11.05,32.5,18.56,18.14,19.44,1.0,1.01,8.87,56.01,67.0,43.39,47.6,10.47,380.1,77.3,3.48,55.32,56.7,54.28,41.6,71.44,13.07
England 6,Southport,35,9,12,14,39,37.9,47,56,-9,25.9,53.8,1.22,1.05,10.92,38.6,12.2,20.91,14.07,1.47,1.46,10.48,57.08,63.1,50.27,46.4,9.55,355.11,78.0,3.61,52.48,59.1,57.75,48.6,71.15,13.26
